question,tag
পোস্টাল ভোট দিতে কি ধরনের এনআইডি কার্ড গ্রহণ করা হয়?,accepted_nid_types
"এনআইডি অনলাইন পোর্টালে ""আপনার একাউন্ট লক করা হয়েছে"" মেসেজ দেখায়, করণীয় কি? আমার এনআইডি একাউন্ট লক হয়ে গেছে, ঠিক/ আনলক করে দেন।",account_locked
"একবার একাউন্ট লক হওয়ার পর পুনরায় সঠিক তথ্য দিলেও একাউন্ট লক দেখাচ্ছে, উপায় কি?",account_locked_retrials
"অনলাইনে এখনো লক দেখাচ্ছে, কখন ঠিক হবে?",account_locked_retrials
একাউন্ট লক হয়ে গেছে এখনই কি আনলক করে দিতে পারবেন?,account_locked_unlock_request
"ঠিকানা পরিবর্তনের সময় আমার নির্ধারিত পোষ্ট অফিস ও পোষ্ট কোড পাচ্ছিনা, কি করবো?",address_cahgne_but_no_post_office_or_office_code
"ভোটার ঠিকানা পরিবর্তন হয়েছে, কিন্তু অনলাইনে কার্ড ডাউনলোড অপশন পাচ্ছি না।",address_change_card_download_process
ভোটার এলাকার ঠিকানা স্থানান্তর করতে কি চেয়ারম্যানের স্বাক্ষর লাগবে নাকি কাউন্সিলরের স্বাক্ষর হলেও হবে?,address_change_counselor_chairperson_signature
ভোটার এলাকার ঠিকানা সংশোধন/ মাইগ্রেশন আবেদন সংক্রান্ত বিষয়ে এই আবেদনের ক্ষেত্রে বাধ্যতামূলক সাপোর্টিং ডকুমেন্টগুলো কী কী?,address_change_counselor_chairperson_signature_followup_b
ঠিকানা পরিবর্তনের আবেদন কি অনলাইনে করা যাবে?,address_change_online_new
"ঠিকানা পরিবর্তনের জন্য আবেদন করেছি, মোবাইলে মেসেজ পেয়েছি, অনুমোদন হতে কতদিন লাগবে?",address_change_sms_to_mobile_how_many_days_to_get_approved
পোস্টাল ভোট বিডি অ্যাপে সফল বার্তার পর কি করব?,after_success_login_button
এনআইডি কার্ডে জন্ম তারিখ সংশোধনের জন্য কি ডকুমেন্টস লাগবে?,age_and_dob_correction
এনআইডি কার্ডে জন্ম তারিখ সংশোধনের জন্য ডকুমেন্টগুলোর মূল কপি নাকি ফটোকপি লাগবে?,age_and_dob_correction_followup_a
এনআইডি কার্ডে জন্ম তারিখ সংশোধনের জন্য ডকুমেন্টগুলোর মধ্যে কোনোটি না থাকলে বিকল্প হিসেবে কী দেওয়া যাবে?,age_and_dob_correction_followup_b
সকল ডকুমেন্টস সঠিক দিয়েছি তারপরও আবেদন বাতিল করা হয়েছে। কেনো?,all_documents_correct_but_application_rejected_why
Postal Vote BD' অ্যাপ কোথায় পাব?,app_download_sources
পোস্টাল ভোট বিডি অ্যাপে অ্যাপের ভাষা কীভাবে পরিবর্তন করব?,app_language_change
পোস্টাল ভোট বিডি অ্যাপ ওপেন হচ্ছে না কেন?,app_not_opening_troubleshoot
পোস্টাল ভোট বিডি অ্যাপ চালাতে কি প্রয়োজন?,app_requirements_internet_gps_vpn
লগইন করার পর পোস্টাল ভোট বিডি অ্যাপ ব্যবহার না করলে লগ আউট হয়ে যায় কি?,auto_logout_inactivity
পোস্টাল ব্যালট খাম পাঠাতে কি কোনো টাকা লাগে?,ballot_envelope_postage_free
পোস্টাল ব্যালট খাম কোথায় জমা দিতে হবে?,ballot_envelope_submission
পোস্টাল ব্যালট পেপারে কীভাবে ভোট দিতে হয়?,ballot_marking_instructions
পোস্টাল ব্যালট প্যাকেটে কী কী জিনিস থাকে?,ballot_packet_contents
পোস্টাল ব্যালটে ভোট দেওয়ার পর ব্যালট কীভাবে প্যাকিং করতে হয়?,ballot_packing_instructions
কখন পোস্টাল ভোট বিডি অ্যাপে ব্যালট ট্র্যাক বাটন সক্রিয় হয়?,ballot_tracking_button_activation
পোস্টাল ভোট বিডি অ্যাপে ব্যালট ট্র্যাকিং কী?,ballot_tracking_definition
পোস্টাল ভোট বিডি অ্যাপে ব্যালট ট্র্যাকিং স্ক্রিনে কী কী ধাপ দেখা যায়?,ballot_tracking_steps
"আমার জন্ম নিবন্ধন ও এসএসসি সনদে কিছু তথ্যগত পার্থক্য আছে, এখন নতুন ভোটারের আবেদন ফরমে কোন তথ্যটি সরবরাহ করবো?",birth_certificate_and_ssc_certificate_different_information
আমার জন্ম নিবন্ধন ও এসএসসি সনদগুলোর মূল কপি নাকি ফটোকপি লাগবে?,birth_certificate_and_ssc_certificate_different_information_followup_a
আমার জন্ম নিবন্ধন ও এসএসসি সনদগুলোর মধ্যে কোনোটি না থাকলে বিকল্প হিসেবে কী দেওয়া যাবে?,birth_certificate_and_ssc_certificate_different_information_followup_b
"জন্ম নিবন্ধন ও এসএসসি সনদে কিছু তথ্যগত পার্থক্য আছে, এখন নতুন ভোটারের আবেদন ফরমে কোন তথ্যটি সরবরাহ করবো সমস্যার সমাধানে প্রথম ধাপ কী হবে?",birth_certificate_and_ssc_certificate_different_information_followup_c
"জন্ম সনদ নম্বর সংযোজন বা সংশোধন করতে, কি ডকুমেন্টস লাগে?",birth_certificate_number_correct_or_add_document_new
জন্ম সনদ নম্বর সংযোজন বা সংশোধন করতে ডকুমেন্টগুলোর মূল কপি নাকি ফটোকপি লাগবে?,birth_certificate_number_correct_or_add_document_new_followup_a
জন্ম সনদ নম্বর সংযোজন বা সংশোধন করতে ডকুমেন্টগুলোর মধ্যে কোনোটি না থাকলে বিকল্প হিসেবে কী দেওয়া যাবে?,birth_certificate_number_correct_or_add_document_new_followup_b
"আমার জন্মতারিখ ভুল হয়েছে, আমার কাছে কোন ডকুমেন্টস/প্রমাণাদি নাই, কিভাবে সংশোধন করা যাবে?",birth_date_no_proof_model
"জন্মস্থান ভুল হয়েছে, কি কি কাগজপত্র লাগবে?",birthplace_correction_new
জন্মস্থান ভুল হয়েছে কাগজপত্রের মূল কপি নাকি ফটোকপি লাগবে?,birthplace_correction_new_followup_a
জন্মস্থান ভুল হয়েছে কাগজপত্রের মধ্যে কোনোটি না থাকলে বিকল্প হিসেবে কী দেওয়া যাবে?,birthplace_correction_new_followup_b
বিকাশে কিভাবে এনআইডি সংশোধন ফি জমা দিতে হয়?,bkash_mfs_payment_process
রক্তের গ্রুপ অন্তর্ভূক্ত বা সংশোধনের জন্য কি করতে হবে?,blood_group_correction
রক্তের গ্রুপ সংশোধনের জন্য কি কাগজপত্র লাগবে?,blood_group_correction
পোস্টাল ভোট বিডি অ্যাপ সম্পর্কিত কল সেন্টারে কি বাংলা ভাষায় সহায়তা পাওয়া যায়?,call_center_bengali_support
ক্যামেরা সঠিকভাবে কাজ না করলে পোস্টাল ভোট বিডি অ্যাপে কিভাবে রেজিস্ট্রেশন করব?,camera_issue_registration
"ঠিকানা পরিবর্তনের আবেদন অনুমোদিত হয়েছে, এখন নতুন ঠিকানার কার্ড পাবো কিভাবে?",card_avail_after_address_change
সংশোধনের ফি কত?,card_correction_fees
সংশোধনের আবেদন করতে কত টাকা দিতে হবে?,card_correction_fees
এনআইডি সংশোধনের ফি কীভাবে জমা দিলে দ্রুত আপডেট হবে?,card_correction_fees_followup_a
এনআইডি সংশোধনের ফি জমা দেওয়ার পর রসিদ/ট্রানজেকশন কীভাবে যাচাই করবো?,card_correction_fees_followup_b
এনআইডি সংশোধনের অনলাইন আবেদন করার পর স্ট্যাটাস কোথায় দেখে নিতে পারবো?,card_correction_fees_followup_c
এনআইডি সংশোধনের অনলাইন ফর্ম পূরণের সময় ভুল হলে কীভাবে ঠিক করবো?,card_correction_fees_followup_d
ফিস জমা দিতে কোন নম্বর (১০/১৩/১৭ ডিজিট) ব্যবহার করবো?,card_correction_fees_payment_reference_nid_number_query
একই তথ্য কতবার সংশোধন/ পরিবর্তন করা যায়?,card_correction_one_information_maximum_limit
"একই তথ্য কতবার সংশোধনের সুযোগ আছে, কোনো সীমা আছে কি?",card_correction_one_information_maximum_limit_followup_a
